Biologie 1. kolo 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obor;Druh;Jméno;Přijmení;Číslo jednací;Rodné číslo;2;3;25;40;64;94;114;118;128;138;164;190;192;204;236;241;248;249;250;255;273;276;289;290;331;354;390;395;402;406;409;421;441;486;529;547;575;576;580;602;623;638;643;652;716;768;775;816;826;831;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
LEK;11;Adam;Mikroskop;1;1;AX;AX;BX;AX;C;AX;C;ACD;DX;A;BCD;CX;BX;A;AX;B;AX;AX;B;AD;AX;AX;AD;ABCD;C;ACD;A;AB;BD;D;BCX;AB;A;D;BX;AX;BX;ABCDX;BDX;BX;AX;BD;CX;AX;AX;AD;A;CX;A;BC;D;D;DX;B;AX;CX;ABX;AD;DX;DX;AB;B;C;B;BX;CX;DX;BX;D;B;D;D;DX;D;ACX;ACX;BD;A;AD;D;D;C;BX;DX;BX;AX;CD;A;BX;D;B;B;ABDX;C;D;AC;C;AX;A;DX
LEK;11;Adéla;Periskopová;2;2;AX;AD;ABCD;AB;AD;AX;ABC;ABCX;B;B;B;;BX;BCD;AX;B;AD;ABC;C;CD;D;BD;AB;D;AX;D;A;AB;C;AC;AC;A;ACX;C;A;D;C;ABCDX;ABD;A;B;ABD;CX;B;;D;CD;A;ACD;BC;D;ABD;B;B;AX;ABC;ABX;BD;AD;ABD;C;D;A;DX;CD;ABCD;B;;ABC;ACD;C;D;DX;ABC;ABC;C;BD;C;;AD;C;C;A;A;A;AX;A;A;A;ABD;ABCD;ABCDX;ABCD;ACDX;D;B;ABCDX;AX;ABCD;DX
LEK;11;Adam;Mikroskop;3;3;AX;AX;BX;AX;BX;AX;BC;ABCX;DX;ADX;ABDX;CX;ABC;ACD;AX;AX;AD;AC;ABX;AC;AX;AC;ABDX;ABD;AX;ABD;ACX;ADX;CDX;ABC;BCX;ACX;ACX;AX;C;AX;BX;ABCDX;BDX;BX;AX;ACD;CX;AX;AX;AD;B;CX;ABCDX;A;D;ABX;DX;BD;AX;ABC;ABX;ABDX;DX;DX;ABCX;AX;AD;DX;BX;CX;DX;BX;B;A;C;AX;C;BX;ABD;ACD;BC;A;AC;ABDX;BD;C;BX;DX;BX;AD;D;A;AB;A;B;ACD;ABDX;ACDX;ABC;AB;ACD;AX;ABCD;DX
LEK;11;Adéla;Periskopová;4;4;AX;AX;D;AX;BX;AX;BX;ABCX;DX;ADX;D;CX;A;BC;AX;D;BC;BC;A;ACDX;C;AX;ABCD;A;CD;ABD;ABC;ADX;CDX;ABX;BCX;A;A;AX;BX;AX;BC;ABD;BDX;AB;AX;CD;CX;AX;B;D;B;CX;ABC;B;D;A;DX;BC;B;CX;ABX;BCD;AD;DX;ABCX;AX;BX;DX;BX;D;C;BX;AD;DX;C;C;B;D;A;ABCD;BC;A;BDX;AD;BC;D;D;DX;D;AC;BDX;A;BX;A;B;AB;AD;CD;BCDX;AB;ABCDX;D;ACD;AC
LEK;11;Adam;Mikroskop;5;5;B;AX;D;C;BX;AX;AD;AC;DX;ADX;BC;CX;D;C;B;AX;AX;AB;A;ACDX;AX;AX;AD;CX;CD;C;ACX;ADX;C;ABX;C;A;C;B;A;AX;ABD;ABCDX;ABCD;BX;B;B;CX;B;B;CDX;C;CX;ABC;B;B;C;C;D;B;A;ABX;A;DX;DX;AB;AX;BX;DX;BX;D;DX;BX;ABD;A;BX;C;DX;BX;AD;ABC;ACX;C;C;D;BC;D;BX;A;D;C;D;B;BX;A;C;B;AD;CD;BCDX;B;ABCDX;AX;ABCD;DX
LEK;11;Adéla;Periskopová;6;6;AX;AX;D;AX;BX;AX;BX;ABCX;AC;C;CD;CX;A;B;AX;C;AX;C;A;ACDX;AX;AX;AD;CX;CD;AB;ABD;D;D;ABD;BCX;A;CD;AX;A;AX;C;AB;BDX;BX;AX;ABD;CX;C;B;CDX;A;CX;A;B;D;A;DX;C;AX;CX;ABX;ABDX;DX;DX;ABCX;C;BX;DX;CD;A;DX;AD;A;DX;BX;AB;A;D;ABC;CD;BC;C;BDX;ABDX;B;C;BC;DX;BX;AX;BDX;A;BX;ADX;DX;AB;BD;CD;BCDX;B;ABCDX;D;ACD;DX
LEK;11;Adam;Mikroskop;7;7;AC;AX;BX;AX;BD;AX;BX;ABCX;B;ADX;D;CX;AB;AC;AX;D;AD;BC;B;ACDX;D;AX;AD;CX;C;D;ABC;ADX;CDX;BD;BCX;ACX;ACD;AX;BC;AX;BX;ABCDX;ABCD;BX;AX;ABC;CX;B;AX;BD;D;B;AB;AD;D;A;C;ABD;AX;CX;ABX;ABDX;BD;DX;ABCX;C;D;DX;BD;CX;DX;C;BD;DX;C;B;DX;C;CD;ACX;ACD;A;BDX;BD;ABD;AX;D;A;D;D;CD;A;AB;ADX;AB;ABCDX;ABDX;CD;BCDX;BC;ABCDX;C;ACD;AC
LEK;11;Adéla;Periskopová;8;8;AX;AX;D;AB;BX;D;BC;ABCX;DX;D;ABDX;CX;D;B;AX;AX;AX;AX;ABX;AC;AC;AX;AB;CX;AX;ABD;ABC;D;D;ABX;BCX;A;ACD;AX;AD;AX;AB;ABCDX;B;BX;AX;ABD;D;AX;B;CDX;AD;CD;A;B;BDX;BC;DX;BC;AX;CX;A;ABDX;BD;DX;AB;C;BX;DX;BD;CX;DX;BX;A;DX;D;BD;DX;A;ACD;ACD;A;AB;AC;D;BCD;D;A;B;A;AX;C;ACX;BX;ABCD;ABD;BCD;ABDX;ACDX;BD;A;ABCDX;AX;ABCD;DX
LEK;11;Adam;Mikroskop;9;9;AX;AX;BX;D;C;C;BC;AC;B;A;ABC;CX;AB;BC;AX;AX;C;BD;ABX;A;AX;AX;CD;CX;C;BD;BD;AB;D;BD;BCX;B;CD;AX;BX;D;A;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;D;ABX;D;ABCDX;B;B;A;B;CD;D;A;ABX;AD;AD;AD;A;B;BX;C;AD;CX;DX;AB;C;DX;D;C;;BX;ACX;BC;AD;D;BDX;A;BC;D;C;DX;C;D;D;A;C;ADX;B;AB;A;CD;CD;D;ABCDX;D;BC;AD
LEK;11;Adéla;Periskopová;10;10;BD;AX;D;C;BX;ABC;BC;BC;B;BD;AC;CD;D;AB;AX;B;AX;BC;C;ACDX;ABD;AX;AD;CX;CD;AC;ACX;ABD;AC;BD;AD;A;ACD;C;D;C;C;ABCDX;B;AB;AX;ABX;A;B;B;A;B;AB;ABCDX;BDX;B;A;C;BD;C;A;ABX;ABDX;ABD;A;AC;AX;BX;AC;AD;A;DX;AB;CD;C;AB;C;DX;BX;ACX;AB;ACX;BX;BC;BCD;BD;C;AD;DX;D;C;BDX;A;BX;CD;ABC;AB;ABDX;BCD;BCDX;AB;ABCDX;C;ACD;AC
